Date,Year,Month,oni,Phase
1995-08-01,1995,8,-0.54,La Niña
1995-09-01,1995,9,-0.81,La Niña
1995-10-01,1995,10,-0.97,La Niña
1995-11-01,1995,11,-1.00,La Niña
1995-12-01,1995,12,-0.98,La Niña
1996-01-01,1996,1,-0.90,La Niña
1996-02-01,1996,2,-0.75,La Niña
1996-03-01,1996,3,-0.59,La Niña
1996-04-01,1996,4,-0.39,Neutral
1996-05-01,1996,5,-0.31,Neutral
1996-06-01,1996,6,-0.30,Neutral
1996-07-01,1996,7,-0.27,Neutral
1996-08-01,1996,8,-0.32,Neutral
1996-09-01,1996,9,-0.35,Neutral
1996-10-01,1996,10,-0.40,Neutral
1996-11-01,1996,11,-0.45,Neutral
1996-12-01,1996,12,-0.49,Neutral
1997-01-01,1997,1,-0.50,La Niña
1997-02-01,1997,2,-0.36,Neutral
1997-03-01,1997,3,-0.10,Neutral
1997-04-01,1997,4,0.28,Neutral
1997-05-01,1997,5,0.75,El Niño
1997-06-01,1997,6,1.22,El Niño
1997-07-01,1997,7,1.60,El Niño
1997-08-01,1997,8,1.90,El Niño
1997-09-01,1997,9,2.14,El Niño
1997-10-01,1997,10,2.33,El Niño
1997-11-01,1997,11,2.40,El Niño
1997-12-01,1997,12,2.39,El Niño
1998-01-01,1998,1,2.24,El Niño
1998-02-01,1998,2,1.93,El Niño
1998-03-01,1998,3,1.44,El Niño
1998-04-01,1998,4,0.99,El Niño
1998-05-01,1998,5,0.45,Neutral
1998-06-01,1998,6,-0.13,Neutral
1998-07-01,1998,7,-0.78,La Niña
1998-08-01,1998,8,-1.12,La Niña
1998-09-01,1998,9,-1.31,La Niña
1998-10-01,1998,10,-1.35,La Niña
1998-11-01,1998,11,-1.48,La Niña
1998-12-01,1998,12,-1.57,La Niña
1999-01-01,1999,1,-1.55,La Niña
1999-02-01,1999,2,-1.30,La Niña
1999-03-01,1999,3,-1.07,La Niña
1999-04-01,1999,4,-0.98,La Niña
1999-05-01,1999,5,-1.02,La Niña
1999-06-01,1999,6,-1.04,La Niña
1999-07-01,1999,7,-1.10,La Niña
1999-08-01,1999,8,-1.11,La Niña
1999-09-01,1999,9,-1.16,La Niña
1999-10-01,1999,10,-1.26,La Niña
1999-11-01,1999,11,-1.46,La Niña
1999-12-01,1999,12,-1.65,La Niña
2000-01-01,2000,1,-1.66,La Niña
2000-02-01,2000,2,-1.41,La Niña
2000-03-01,2000,3,-1.07,La Niña
2000-04-01,2000,4,-0.81,La Niña
2000-05-01,2000,5,-0.71,La Niña
2000-06-01,2000,6,-0.64,La Niña
2000-07-01,2000,7,-0.55,La Niña
2000-08-01,2000,8,-0.51,La Niña
2000-09-01,2000,9,-0.55,La Niña
2000-10-01,2000,10,-0.63,La Niña
2000-11-01,2000,11,-0.75,La Niña
2000-12-01,2000,12,-0.74,La Niña
2001-01-01,2001,1,-0.68,La Niña
2001-02-01,2001,2,-0.52,La Niña
2001-03-01,2001,3,-0.44,Neutral
2001-04-01,2001,4,-0.34,Neutral
2001-05-01,2001,5,-0.25,Neutral
2001-06-01,2001,6,-0.12,Neutral
2001-07-01,2001,7,-0.08,Neutral
2001-08-01,2001,8,-0.13,Neutral
2001-09-01,2001,9,-0.19,Neutral
2001-10-01,2001,10,-0.29,Neutral
2001-11-01,2001,11,-0.35,Neutral
2001-12-01,2001,12,-0.31,Neutral
2002-01-01,2002,1,-0.15,Neutral
2002-02-01,2002,2,0.03,Neutral
2002-03-01,2002,3,0.09,Neutral
2002-04-01,2002,4,0.20,Neutral
2002-05-01,2002,5,0.43,Neutral
2002-06-01,2002,6,0.65,El Niño
2002-07-01,2002,7,0.79,El Niño
2002-08-01,2002,8,0.86,El Niño
2002-09-01,2002,9,1.01,El Niño
2002-10-01,2002,10,1.21,El Niño
2002-11-01,2002,11,1.31,El Niño
2002-12-01,2002,12,1.14,El Niño
2003-01-01,2003,1,0.92,El Niño
2003-02-01,2003,2,0.63,El Niño
2003-03-01,2003,3,0.38,Neutral
2003-04-01,2003,4,-0.04,Neutral
2003-05-01,2003,5,-0.26,Neutral
2003-06-01,2003,6,-0.16,Neutral
2003-07-01,2003,7,0.08,Neutral
2003-08-01,2003,8,0.21,Neutral
2003-09-01,2003,9,0.26,Neutral
2003-10-01,2003,10,0.29,Neutral
2003-11-01,2003,11,0.35,Neutral
