Split,Reservoir,Week,Model,NSE,RMSE_TMC
val,Almatti,8,v2_ridge,-5.104,52.23
val,Almatti,8,v1_median,-5.093,52.18
val,Almatti,8,persist,-0.483,25.75
val,Almatti,8,clim,-0.636,27.04
val,Almatti,9,v2_ridge,-5.06,51.44
val,Almatti,9,v1_median,-5.061,51.44
val,Almatti,9,persist,-0.221,23.09
val,Almatti,9,clim,-0.693,27.19
val,Almatti,10,v2_ridge,-4.924,51.35
val,Almatti,10,v1_median,-4.924,51.35
val,Almatti,10,persist,-1.19,31.22
val,Almatti,10,clim,-0.682,27.36
val,Almatti,11,v2_ridge,-4.697,50.99
val,Almatti,11,v1_median,-4.697,50.99
val,Almatti,11,persist,-1.372,32.9
val,Almatti,11,clim,-0.733,28.12
val,Almatti,12,v2_ridge,-4.557,50.37
val,Almatti,12,v1_median,-4.557,50.37
val,Almatti,12,persist,-0.907,29.5
val,Almatti,12,clim,-0.803,28.69
val,Jayakwadi,1,v2_ridge,-4.304,35.76
val,Jayakwadi,1,v1_median,-0.509,19.07
val,Jayakwadi,1,persist,0.031,15.28
val,Jayakwadi,1,clim,-0.175,16.83
val,Jayakwadi,2,v2_ridge,-4.08,36.0
val,Jayakwadi,2,v1_median,-1.967,27.51
val,Jayakwadi,2,persist,-0.554,19.91
val,Jayakwadi,2,clim,-0.167,17.25
val,Jayakwadi,3,v2_ridge,-3.727,35.56
val,Jayakwadi,3,v1_median,-2.445,30.36
val,Jayakwadi,3,persist,-0.493,19.98
val,Jayakwadi,3,clim,-0.204,17.95
val,Jayakwadi,4,v2_ridge,-3.436,34.7
val,Jayakwadi,4,v1_median,-2.58,31.17
val,Jayakwadi,4,persist,-0.041,16.81
val,Jayakwadi,4,clim,-0.262,18.51
val,Jayakwadi,5,v2_ridge,-3.321,33.67
val,Jayakwadi,5,v1_median,-3.013,32.44
val,Jayakwadi,5,persist,-0.424,19.33
val,Jayakwadi,5,clim,-0.312,18.55
val,Jayakwadi,6,v2_ridge,-3.143,33.4
val,Jayakwadi,6,v1_median,-3.136,33.37
val,Jayakwadi,6,persist,-0.846,22.29
val,Jayakwadi,6,clim,-0.286,18.61
val,Jayakwadi,7,v2_ridge,-3.045,32.98
val,Jayakwadi,7,v1_median,-3.106,33.23
val,Jayakwadi,7,persist,-0.982,23.09
val,Jayakwadi,7,clim,-0.336,18.95
