Split,Reservoir,Week,Model,NSE,RMSE_TMC
val,Mettur,10,clim,-0.267,23.385
val,Mettur,11,gnn,-5.679,54.242
val,Mettur,11,persist,-1.478,33.038
val,Mettur,11,clim,-0.272,23.675
val,Mettur,12,gnn,-5.464,53.744
val,Mettur,12,persist,-0.58,26.574
val,Mettur,12,clim,-0.29,24.011
val,Nagarjuna Sagar,1,gnn,-1.158,62.13
val,Nagarjuna Sagar,1,persist,-0.863,57.73
val,Nagarjuna Sagar,1,clim,-0.436,50.685
val,Nagarjuna Sagar,2,gnn,-2.245,76.966
val,Nagarjuna Sagar,2,persist,-2.052,74.641
val,Nagarjuna Sagar,2,clim,-0.446,51.381
val,Nagarjuna Sagar,3,gnn,-1.575,69.455
val,Nagarjuna Sagar,3,persist,-1.373,66.667
val,Nagarjuna Sagar,3,clim,-0.479,52.634
val,Nagarjuna Sagar,4,gnn,-1.336,66.051
val,Nagarjuna Sagar,4,persist,0.427,32.708
val,Nagarjuna Sagar,4,clim,-0.533,53.514
val,Nagarjuna Sagar,5,gnn,-1.819,71.58
val,Nagarjuna Sagar,5,persist,-0.253,47.712
val,Nagarjuna Sagar,5,clim,-0.577,53.529
val,Nagarjuna Sagar,6,gnn,-1.833,72.352
val,Nagarjuna Sagar,6,persist,-1.748,71.256
val,Nagarjuna Sagar,6,clim,-0.572,53.895
val,Nagarjuna Sagar,7,gnn,-1.755,72.091
val,Nagarjuna Sagar,7,persist,-1.74,71.891
val,Nagarjuna Sagar,7,clim,-0.6,54.931
val,Nagarjuna Sagar,8,gnn,-1.664,70.819
val,Nagarjuna Sagar,8,persist,-0.318,49.816
val,Nagarjuna Sagar,8,clim,-0.669,56.049
val,Nagarjuna Sagar,9,gnn,-1.615,68.979
val,Nagarjuna Sagar,9,persist,0.278,36.241
val,Nagarjuna Sagar,9,clim,-0.74,56.272
val,Nagarjuna Sagar,10,gnn,-1.571,68.917
val,Nagarjuna Sagar,10,persist,-1.325,65.539
val,Nagarjuna Sagar,10,clim,-0.735,56.615
val,Nagarjuna Sagar,11,gnn,-1.504,68.657
val,Nagarjuna Sagar,11,persist,-1.897,73.844
val,Nagarjuna Sagar,11,clim,-0.761,57.579
val,Nagarjuna Sagar,12,gnn,-1.423,67.625
val,Nagarjuna Sagar,12,persist,-0.976,61.073
val,Nagarjuna Sagar,12,clim,-0.825,58.694
val,Sardar Sarovar,1,gnn,0.408,40.977
val,Sardar Sarovar,1,persist,0.589,34.143
val,Sardar Sarovar,1,clim,-0.972,74.792
val,Sardar Sarovar,2,gnn,-0.773,69.854
val,Sardar Sarovar,2,persist,-0.232,58.229
val,Sardar Sarovar,2,clim,-1.041,74.931
val,Sardar Sarovar,3,gnn,-1.978,90.011
val,Sardar Sarovar,3,persist,-1.153,76.535
val,Sardar Sarovar,3,clim,-1.067,74.991
val,Sardar Sarovar,4,gnn,-2.824,102.373
val,Sardar Sarovar,4,persist,-1.9,89.149
val,Sardar Sarovar,4,clim,-1.047,74.901
val,Sardar Sarovar,5,gnn,-3.196,108.419
val,Sardar Sarovar,5,persist,-2.302,96.182
val,Sardar Sarovar,5,clim,-0.977,74.426
val,Sardar Sarovar,6,gnn,-3.392,111.322
val,Sardar Sarovar,6,persist,-2.407,98.052
val,Sardar Sarovar,6,clim,-0.875,72.742
val,Sardar Sarovar,7,gnn,-3.382,111.111
val,Sardar Sarovar,7,persist,-2.239,95.53
val,Sardar Sarovar,7,clim,-0.814,71.485
val,Sardar Sarovar,8,gnn,-3.043,108.282
val,Sardar Sarovar,8,persist,-1.865,91.155
val,Sardar Sarovar,8,clim,-0.723,70.684
val,Sardar Sarovar,9,gnn,-2.645,105.441
val,Sardar Sarovar,9,persist,-1.433,86.142
val,Sardar Sarovar,9,clim,-0.612,70.119
val,Sardar Sarovar,10,gnn,-2.378,103.726
val,Sardar Sarovar,10,persist,-1.035,80.506
val,Sardar Sarovar,10,clim,-0.517,69.502
val,Sardar Sarovar,11,gnn,-2.254,102.522
